地名,センター,生活ごみ,缶・びん,ペットボトル,プラ容器包装,小型金属,古紙類
向陵東町1から3丁,東工場,水 土,木1 木3,木2 木4,月,火2,
五条通1から5街区,東工場,水 土,火1 火3,火2 火4,金,土2,
五条通6街区,東工場,水 土,木1 木3,木2 木4,月,火2,
御陵通1から3街区,東工場,水 土,火1 火3,火2 火4,金,土2,
御陵通4から5街区,東工場,水 土,木1 木3,木2 木4,月,火2,
材木町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
材木町東1から4丁,東工場,水 土,金2 金4,金1 金3,火,土2,
幸通1から2街区,東工場,水 土,火1 火3,火2 火4,金,土2,
幸通3から4街区,東工場,水 土,木1 木3,木2 木4,月,火2,
栄橋町1から2丁,東工場,火 金,月2 月4,月1 月3,木,火2,
桜之町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
桜之町東1から2丁,東工場,水 土,金2 金4,金1 金3,火,土2,
五月町,東工場,水 土,木1 木3,木2 木4,月,火2,
三条通1から5街区,東工場,水 土,火1 火3,火2 火4,金,土2,
三条通6から7街区,東工場,水 土,木1 木3,木2 木4,月,火2,
三宝町1から9丁,東工場,火 金,月2 月4,月1 月3,木,火2,
塩浜町,東工場,火 金,月2 月4,月1 月3,木,火2,
四条通1から5街区,東工場,水 土,火1 火3,火2 火4,金,土2,
四条通6から7街区,東工場,水 土,木1 木3,木2 木4,月,火2,
七条通1から2街区,東工場,水 土,火1 火3,火2 火4,金,土2,
七条通3から4街区,東工場,水 土,木1 木3,木2 木4,月,火2,
七道西町,東工場,月 木,水2 水4,水1 水3,土,木2,
七道東町,東工場,月 木,水2 水4,水1 水3,土,木2,
東雲西町1丁,東工場,月 木,金2 金4,金1 金3,火,土2,
東雲西町2から4丁,東工場,月 木,水2 水4,水1 水3,土,木2,
宿院町西1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
宿院町東1から4丁,東工場,月 木,金2 金4,金1 金3,火,土2,
宿屋町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
宿屋町東1から3丁,東工場,水 土,金2 金4,金1 金3,火,土2,
